"m"	"psipo"	"phipo"	"psinb"	"phinb"	"phinb.ind"	"psizip"	"phizip"	"psizinb"	"psizinb.ind"	"phizinb"	"phizinb.ind"
55.72	0.01378799	1	0.03554597	0.9430603	0.5150027	6.285456e-07	1	0.005473985	0.01119498	0.95073	0.07752833
55.73	0.0137774	1	0.03553665	0.9430623	0.515006	6.269368e-07	1	0.005472394	0.01119221	0.9507306	0.07752512
55.74	0.01376681	1	0.03552733	0.9430643	0.5150094	6.253322e-07	1	0.005470803	0.01118944	0.9507311	0.0775219
55.75	0.01375623	1	0.03551802	0.9430663	0.5150127	6.237316e-07	1	0.005469212	0.01118668	0.9507317	0.07751869
55.76	0.01374565	1	0.03550871	0.9430682	0.515016	6.221352e-07	1	0.005467623	0.01118391	0.9507323	0.07751548
55.77	0.01373509	1	0.03549941	0.9430702	0.5150193	6.205428e-07	1	0.005466034	0.01118115	0.9507329	0.07751226
55.78	0.01372453	1	0.03549011	0.9430722	0.5150226	6.189545e-07	1	0.005464446	0.01117839	0.9507335	0.07750905
55.79	0.01371399	1	0.03548081	0.9430742	0.5150259	6.173703e-07	1	0.005462859	0.01117562	0.950734	0.07750584
55.8	0.01370345	1	0.03547152	0.9430762	0.5150293	6.157902e-07	1	0.005461272	0.01117286	0.9507346	0.07750263
55.81	0.01369292	1	0.03546223	0.9430782	0.5150326	6.14214e-07	1	0.005459686	0.01117011	0.9507352	0.07749942
55.82	0.01368239	1	0.03545294	0.9430801	0.5150359	6.12642e-07	1	0.005458101	0.01116735	0.9507358	0.07749621
55.83	0.01367188	1	0.03544366	0.9430821	0.5150392	6.110739e-07	1	0.005456517	0.01116459	0.9507364	0.077493
55.84	0.01366137	1	0.03543439	0.9430841	0.5150425	6.095099e-07	1	0.005454933	0.01116184	0.950737	0.07748979
55.85	0.01365087	1	0.03542511	0.9430861	0.5150458	6.079498e-07	1	0.00545335	0.01115908	0.9507375	0.07748658
55.86	0.01364038	1	0.03541584	0.9430881	0.5150491	6.063938e-07	1	0.005451768	0.01115633	0.9507381	0.07748337
55.87	0.0136299	1	0.03540658	0.94309	0.5150524	6.048417e-07	1	0.005450187	0.01115358	0.9507387	0.07748017
55.88	0.01361942	1	0.03539732	0.943092	0.5150557	6.032936e-07	1	0.005448606	0.01115083	0.9507393	0.07747696
55.89	0.01360895	1	0.03538806	0.943094	0.515059	6.017495e-07	1	0.005447026	0.01114808	0.9507399	0.07747375
55.9	0.01359849	1	0.0353788	0.943096	0.5150624	6.002093e-07	1	0.005445447	0.01114533	0.9507404	0.07747055
55.91	0.01358804	1	0.03536955	0.9430979	0.5150657	5.98673e-07	1	0.005443868	0.01114258	0.950741	0.07746734
55.92	0.0135776	1	0.03536031	0.9430999	0.515069	5.971407e-07	1	0.005442291	0.01113984	0.9507416	0.07746414
55.93	0.01356716	1	0.03535106	0.9431019	0.5150723	5.956123e-07	1	0.005440714	0.01113709	0.9507422	0.07746094
